Player,Team,Position,Price,PricedAt,Breakeven,Avg2023,Avg2024,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Anthony Caminiti,STK,FWD/DEF,607000,60.5882130097421,56,50.3529411764706,47.9333333333333,53,76,70,83,0,53,67,66.3333333333333,70.5
Anthony Scott,WBD,MID/FWD,378000,37.7303863553254,41,48.4545454545455,25,0,0,0,0,0,0,0,0,0
Archer Day-Wicks,ESS,MID/FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Archer Reid,WCE,RUC/FWD,355000,35.4346221061918,23,0,0,34,46,64,35,0,34,42.2,48,44.75
Archie Perkins,ESS,MID/FWD,680000,67.8747691048182,77,67.304347826087,65.2222222222222,61,63,85,0,0,61,69.6666666666667,69.6666666666667,69.6666666666667
Archie Roberts,ESS,DEF/MID,769000,76.7583785905958,50,0,85,113,94,68,75,0,113,87.5,91.6666666666667,87.5
Arie Schoenmaker,STK,DEF,499000,49.8081026225063,50,0,58.75,56,0,0,0,0,56,56,56,56
Arthur Jones,WBD,FWD,253000,25.2534067404691,36,33.6923076923077,38,31,5,0,0,0,31,18,18,18
Ash Johnson,COL,FWD,371000,37.0316754968934,41,45.7333333333333,18,0,0,0,0,0,0,0,0,0
Asher Eastham,GCS,FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Ashton Moir,CAR,FWD,230000,22.9576424913356,57,0,28,5,0,0,0,0,5,5,5,5
Bailey Banfield,FRE,FWD,516000,51.5049718501267,64,47.5,62.2272727272727,45,50,60,33,0,45,46.2,51.6666666666667,47
Bailey Dale,WBD,DEF,869000,86.7399622824809,119,85.2608695652174,92.6086956521739,68,87,63,96,0,68,83.6,72.6666666666667,78.5
Bailey Humphrey,GCS,FWD,594000,59.290607129797,44,51.3157894736842,45.2857142857143,68,60,93,66,0,68,71.75,73.6666666666667,71.75
Bailey J. Williams,WCE,RUC,599000,59.7896863143913,73,76.6956521739131,63.7826086956522,42,69,76,36,0,42,55.75,62.3333333333333,55.75
Bailey Laurie,MEL,MID/FWD,324000,32.3403311617075,36,24.5,35.8333333333333,0,0,0,0,0,0,0,0,0
Bailey Macdonald,HAW,DEF,377000,37.6305705184065,41,52.5,0,0,0,0,0,0,0,0,0,0
Bailey Scott,NTH,MID,724000,72.2666659292476,116,85.6086956521739,80,41,47,81,79,0,41,62,56.3333333333333,62
Bailey Smith,GEE,MID/FWD,893000,89.1355423685333,50,83.2631578947368,0,102,127,112,126,0,102,116.75,113.666666666667,116.75
Bailey Williams,WBD,MID,715000,71.3683233969779,83,69.8260869565217,75.3478260869565,68,66,83,62,0,68,69.8,72.3333333333333,69.75
Bayley Fritsch,MEL,FWD,521000,52.004051034721,33,63.1333333333333,50.0869565217391,72,69,66,21,0,72,55.6,69,57
Beau McCreery,COL,FWD,530000,52.9023935669906,55,52.3636363636364,53.0588235294118,64,46,51,56,0,64,53.8,53.6666666666667,54.25
Ben Ainsworth,GCS,FWD,681000,67.974584941737,61,74.0952380952381,65.0588235294118,85,69,69,0,0,85,74.3333333333333,74.3333333333333,74.3333333333333
Ben Camporeale,CAR,MID,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Ben Hobbs,ESS,FWD,533000,53.2018410777472,30,76.5,48.1666666666667,88,65,36,57,0,88,61.5,63,61.5
Ben Jepson,GCS,DEF,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Ben Keays,ADE,FWD,871000,86.9395939563186,94,77.304347826087,76.6521739130435,84,73,97,132,0,84,92.2,84.6666666666667,96.5
Ben King,GCS,FWD,627000,62.5845297481191,73,45.55,53.2272727272727,55,45,83,92,0,55,68.75,61,68.75
Ben Long,GCS,FWD,636000,63.4828722803888,52,43.8,55.8823529411765,80,67,68,73,0,80,72,71.6666666666667,72
Ben McKay,ESS,DEF,461000,46.01510081959,60,52.6315789473684,54.2173913043478,49,41,28,42,0,49,40,39.3333333333333,40
Ben Miller,RIC,DEF,605000,60.3885813359044,63,45.3846153846154,54.4761904761905,53,71,66,69,0,53,63.6,63.3333333333333,64.75
Ben Paton,SYD,DEF/FWD,442000,44.1185999181318,52,54.4166666666667,25.75,42,35,0,0,0,42,38.5,38.5,38.5
Benny Barrett,PTA,MID,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Billy Dowling,ADE,MID,678000,67.6751374309805,74,0,68.1111111111111,0,0,0,0,0,0,0,0,0
Billy Frampton,COL,DEF,367000,36.632412149218,43,50.6,37.2222222222222,39,30,0,0,0,39,34.5,34.5,34.5
Billy Wilson,CAR,DEF/MID,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Blake Acres,CAR,MID,788000,78.654879492054,91,87.7727272727273,88.5909090909091,104,64,34,92,0,104,73.5,67.3333333333333,73.5
Blake Hardwick,HAW,DEF/FWD,668000,66.676979061792,76,81,64.7391304347826,36,98,76,69,0,36,65.4,70,69.75
Blake Howes,MEL,DEF,473000,47.2128908626162,69,0,52.3125,34,48,32,0,0,34,38,38,38
Blake Leidler,SYD,DEF,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Bo Allan,WCE,DEF/MID,295000,29.4456718910608,32,0,0,0,0,0,0,0,0,0,0,0
Bobby Hill,COL,FWD,499000,49.8081026225063,62,50.1428571428572,56.1304347826087,57,31,55,35,0,57,47.2,47.6666666666667,44.5
Bodhi Uwland,GCS,DEF,555000,55.3977894899619,80,30.6666666666667,61.5238095238095,35,53,57,50,0,35,48.75,48.3333333333333,48.75
Bodie Ryan,HAW,DEF,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Brad Close,GEE,FWD,559000,55.7970528376373,52,55.8571428571429,55.9130434782609,63,65,59,39,0,63,57.4,62.3333333333333,56.5
Bradley Hill,STK,MID/FWD,631000,62.9837930957945,58,74.4761904761905,74.2272727272727,68,73,76,49,0,68,58.2,72.3333333333333,66.5
Brady Hough,WCE,DEF,538000,53.7009202623414,79,61.4666666666667,58.4782608695652,43,37,43,71,0,43,50.8,41,48.5
Braeden Campbell,SYD,MID/FWD,581000,57.993001249852,49,65.2272727272727,47.75,64,65,64,81,0,64,63.6,64.3333333333333,68.5
Brandon Ryan,BRL,FWD,290000,28.9465927064666,32,38.6666666666667,19,0,0,0,0,0,0,0,0,0
Brandon Starcevich,BRL,DEF,480000,47.9116017210481,51,49.304347826087,46.7058823529412,50,0,0,0,0,50,50,50,50
Brandon Walker,FRE,DEF,524000,52.3034985454775,88,38.6428571428572,55.1052631578947,12,56,0,0,0,12,34,34,34
Brandon Zerk-Thatcher,PTA,DEF,517000,51.6047876870456,57,52.2272727272727,50.3478260869565,0,0,0,0,0,0,0,0,0
Brayden Cook,ADE,FWD,425000,42.4217306905114,47,63,41.4666666666667,0,0,0,0,0,0,0,0,0
Brayden Fiorini,GCS,MID,758000,75.6604043844885,83,70.8235294117647,73.8333333333333,0,0,0,0,0,0,0,0,0
Brayden George,NTH,FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Brayden Maynard,COL,DEF,629000,62.7841614219568,85,74.6363636363637,71.0434782608696,46,61,55,73,0,46,57.2,54,58.75
Brennan Cox,FRE,DEF,548000,54.6990786315299,54,69.9,51.7777777777778,70,65,26,55,0,70,50.2,53.6666666666667,54
Brent Daniels,GWS,FWD,713000,71.1686917231402,117,70.1764705882353,85.8571428571429,50,60,27,88,0,50,56.25,45.6666666666667,56.25
Brodie Grundy,SYD,RUC,898000,89.6346215531275,93,75,97.1304347826087,106,83,82,95,0,106,87,90.3333333333333,91.5
Brodie Kemp,CAR,DEF/FWD,552000,55.0983419792053,74,70.1333333333334,66.65,36,37,104,26,0,36,47.6,59,50.75
Brodie Smith,ADE,DEF,657000,65.5790048556846,72,81.4090909090909,64.0666666666667,0,0,0,0,0,0,0,0,0
Brody Mihocek,COL,FWD,556000,55.4976053268807,63,60.2857142857143,58.6363636363636,59,52,57,44,0,59,53,56,53
Bruce Reville,BRL,MID,459000,45.8154691457523,44,0,47.8333333333333,53,58,35,38,0,53,46,48.6666666666667,46
Brynn Teakle,NTH,FWD,402000,40.1259664413778,44,58.75,39.1818181818182,0,0,0,0,0,0,0,0,0
Buku Khamis,WBD,DEF,489000,48.8099442533178,48,15,43.7058823529412,51,47,59,57,0,51,53.5,52.3333333333333,53.5
Caiden Cleary,SYD,FWD,349000,34.8357270846787,-20,0,28,83,68,0,0,0,83,75.5,75.5,75.5
Caleb Daniel,NTH,MID/FWD,829000,82.7473288057268,57,89.8695652173913,50.1333333333333,98,88,115,114,0,98,101.2,100.333333333333,103.75
Caleb Graham,GCS,DEF,252000,25.1535909035503,28,0,0,0,0,0,0,0,0,0,0,0
Caleb Mitchell,SYD,MID,230000,22.9576424913356,25,0,18,0,0,0,0,0,0,0,0,0
Caleb Poulter,WBD,MID,586000,58.4920804344462,64,56.6666666666667,62.7142857142857,0,0,0,0,0,0,0,0,0
Caleb Serong,FRE,MID,990000,98.8176785496617,97,108.090909090909,103.913043478261,101,121,100,83,0,101,98,107.333333333333,101.25
Caleb Windsor,MEL,MID/DEF,569000,56.7952112068258,70,0,59,53,51,55,0,0,53,53,53,53
Callan Ward,GWS,MID,614000,61.2869238681741,61,71.8636363636364,71.9444444444445,108,49,13,46,0,108,60.8,56.6666666666667,54
Callum Ah Chee,BRL,FWD,628000,62.684345585038,45,50.8888888888889,59.3181818181818,96,61,50,85,0,96,67.6,69,73
Callum Coleman-Jones,NTH,FWD,408000,40.7248614628909,45,50.3333333333333,26,0,0,0,0,0,0,0,0,0
Callum Jamieson,WCE,DEF,4e+05,39.9263347675401,44,40.25,47.5,0,0,0,0,0,0,0,0,0
Callum M. Brown,GWS,FWD,451000,45.0169424504015,40,0,0,54,38,66,36,0,54,48.5,52.6666666666667,48.5
Callum Mills,SYD,DEF,759000,75.7602202214073,83,84.1052631578947,69.8333333333333,0,0,0,0,0,0,0,0,0
Callum Wilkie,STK,DEF,747000,74.5624301783811,93,87.1739130434783,73.9130434782609,62,85,49,93,0,62,75.2,65.3333333333333,72.25
Calsher Dear,HAW,FWD,445000,44.4180474288884,49,0,43.3333333333333,0,0,0,0,0,0,0,0,0
Cam Mackenzie,HAW,MID,7e+05,69.8710858431952,68,48.6428571428572,58.25,57,95,82,68,0,57,75.4,78,75.5
Cam Rayner,BRL,FWD,613000,61.1871080312552,58,63.6956521739131,67.5652173913043,59,85,56,58,0,59,58.8,66.6666666666667,64.5
Cameron Guthrie,GEE,MID,731000,72.9653767876795,80,86.8333333333333,63.25,0,0,0,0,0,0,0,0,0
Cameron Zurhaar,NTH,FWD,683000,68.1742166155747,103,64.5,66.4090909090909,47,57,50,86,0,47,68.4,51.3333333333333,60
Campbell Chesser,WCE,MID,418000,41.7230198320794,46,42.5,40.7222222222222,0,0,0,0,0,0,0,0,0
Campbell Gray,RIC,DEF/FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Chad Warner,SYD,MID/FWD,871000,86.9395939563186,113,92.7,93.6818181818182,86,41,129,66,0,86,82.8,85.3333333333333,80.5
Changkuoth Jiath,HAW,MID/DEF,517000,51.6047876870456,51,56.5,47.9090909090909,55,47,68,0,0,55,56.6666666666667,56.6666666666667,56.6666666666667
Charlie Ballard,GCS,DEF,496000,49.5086551117497,71,57.304347826087,50.304347826087,30,0,0,0,0,30,30,30,30
Charlie Cameron,BRL,FWD,558000,55.6972370007184,62,63.5652173913044,58.6086956521739,65,50,45,0,0,65,53.3333333333333,53.3333333333333,53.3333333333333
Charlie Comben,NTH,DEF,542000,54.1001836100168,68,41.1428571428572,60.4736842105263,38,48,61,82,0,38,49.4,49,57.25
Charlie Curnow,CAR,FWD,592000,59.0909754559593,65,86.7826086956522,73.8571428571429,85,37,64,16,0,85,50.5,62,50.5
Charlie Dean,COL,DEF,454000,45.316389961158,50,0,47.125,0,0,0,0,0,0,0,0,0
Charlie Edwards,ADE,DEF/MID,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Charlie Nicholls,FRE,FWD,241000,24.0556166974429,26,0,0,0,0,0,0,0,0,0,0,0
Charlie Spargo,MEL,FWD,305000,30.4438302602493,41,45.4615384615385,36,39,-1,42,0,0,39,26.6666666666667,40.5,40.5
Charlie West,COL,RUC/FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Chayce Jones,ADE,MID,613000,61.1871080312552,67,67.2777777777778,59.75,0,0,0,0,0,0,0,0,0
Chris Burgess,ADE,FWD,428000,42.7211782012679,47,22,45.8571428571429,0,0,0,0,0,0,0,0,0
Christian Moraes,PTA,MID,444000,44.3182315919695,25,0,0,40,54,93,60,0,40,61.75,62.3333333333333,61.75
Christian Petracca,MEL,MID/FWD,879000,87.7381206516694,94,106.04347826087,90.2307692307692,104,77,80,89,0,104,89,87,87.5
Christian Salem,MEL,DEF,886000,88.4368315101013,106,77.5,80.2941176470588,89,74,85,97,0,89,93.8,82.6666666666667,86.25
Cillian Burke,GEE,DEF,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Clay Hall,WCE,MID,335000,33.4383053678148,19,0,33,37,48,49,0,0,37,44.6666666666667,44.6666666666667,44.6666666666667
Clayton Oliver,MEL,MID,928000,92.629096660693,81,113.846153846154,77.7142857142857,98,104,108,114,0,98,101.6,103.333333333333,106
Cody Anderson,HAW,MID,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Cody Angove,GWS,MID/FWD,271000,27.0500918050084,30,0,0,0,0,0,0,0,0,0,0,0
Cody Weightman,WBD,FWD,628000,62.684345585038,69,58.421052631579,61.1875,0,0,0,0,0,0,0,0,0
Coen Livingstone,WCE,RUC/FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Colby McKercher,NTH,DEF/MID,707000,70.5697967016271,111,0,82.3125,26,79,73,60,0,26,62,59.3333333333333,59.5
Connor Budarick,GCS,DEF/MID,655000,65.3793731818469,96,73.5,61.25,37,64,66,0,0,37,55.6666666666667,55.6666666666667,55.6666666666667
Connor Idun,GWS,DEF,730000,72.8655609507607,73,66.9565217391304,72.5652173913043,64,100,82,47,0,64,73.4,82,73.25
Connor Macdonald,HAW,FWD,703000,70.1705333539517,117,70.7142857142857,78,20,94,38,0,0,20,50.6666666666667,50.6666666666667,50.6666666666667
Connor O'Sullivan,GEE,DEF,515000,51.4051560132079,28,0,0,51,96,47,75,0,51,63.8,64.6666666666667,67.25
Connor Rozee,PTA,MID,1042000,104.008102069442,110,105.869565217391,97.05,126,84,84,145,0,126,110.2,98,109.75
Conor McKenna,BRL,DEF,543000,54.1999994469357,97,65.0869565217391,60.3571428571429,25,32,0,0,0,25,28.5,28.5,28.5
Conor Nash,HAW,MID,754000,75.2611410368131,114,82.0434782608696,73.9130434782609,26,82,75,102,0,26,72,61,71.25
Conor Stone,GWS,FWD/DEF,376000,37.5307546814877,30,17.6666666666667,15.5,43,28,68,40,0,43,45.8,46.3333333333333,44.75
Cooper Bell,GCS,DEF/FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Cooper Harvey,NTH,FWD,321000,32.0408836509509,35,44.6666666666667,0,0,0,0,0,0,0,0,0,0
Cooper Hynes,WBD,MID,266000,26.5510126204142,43,0,0,10,0,0,0,0,10,10,10,10
Cooper Lord,CAR,MID/FWD,533000,53.2018410777472,50,0,69.5,64,74,15,70,0,64,55.75,51,55.75
Cooper Sharman,STK,FWD,574000,57.29429039142,35,44.4,50.2222222222222,81,70,63,0,0,81,71.3333333333333,71.3333333333333,71.3333333333333
Cooper Simpson,FRE,FWD,230000,22.9576424913356,25,0,23.5,0,0,0,0,0,0,0,0,0
Corey Durdin,CAR,FWD,352000,35.1351745954353,4,49.4545454545455,30.7692307692308,78,0,0,0,0,78,78,78,78
Corey Wagner,FRE,DEF,618000,61.6861872158495,91,72.7777777777778,61.1666666666667,14,81,71,0,0,14,55.3333333333333,55.3333333333333,55.3333333333333
Corey Warner,SYD,FWD/MID,461000,46.01510081959,27,20.6666666666667,28.5,61,42,68,75,0,61,57.6,57,61.5
Dan Butler,STK,FWD,460000,45.9152849826711,50,59.1739130434783,44.8125,0,0,0,0,0,0,0,0,0
Dan Houston,COL,DEF,884000,88.2371998362636,120,92.6521739130435,94,80,60,92,0,0,80,77.3333333333333,77.3333333333333,77.3333333333333
Dane Rampe,SYD,DEF,582000,58.0928170867708,52,59.5714285714286,47.2777777777778,55,67,79,66,0,55,63.4,67,66.75
Daniel Curtin,ADE,FWD/MID,460000,45.9152849826711,42,0,32.1428571428572,27,53,81,73,0,27,52.8,53.6666666666667,58.5
Daniel McStay,COL,FWD,639000,63.7823197911453,64,53.75,56.2,52,72,63,124,0,52,70.6,62.3333333333333,77.75
Daniel Rioli,GCS,DEF,808000,80.651196230431,98,80.304347826087,83.5217391304348,56,113,63,78,0,56,77.5,77.3333333333333,77.5
Daniel Turner,MEL,FWD,436000,43.5197048966187,41,47,42.2666666666667,55,41,0,0,0,55,48,48,48
Dante Visentini,PTA,RUC,443000,44.2184157550507,49,39.6666666666667,54.6666666666667,0,0,0,0,0,0,0,0,0
Darcy Byrne-Jones,PTA,FWD,569000,56.7952112068258,74,61.2380952380952,56.7391304347826,24,74,78,40,0,24,54,58.6666666666667,54
Darcy Cameron,COL,RUC,1024000,102.211417004903,105,84,96.1739130434783,105,126,100,69,0,105,107.2,110.333333333333,100
Darcy Craven,BRL,FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Darcy Fogarty,ADE,FWD,632000,63.0836089327134,68,60.3809523809524,58.6086956521739,74,64,36,82,0,74,67.4,58,64
Darcy Fort,BRL,RUC,574000,57.29429039142,43,45.2857142857143,69.5,77,66,0,0,0,77,71.5,71.5,71.5
Darcy Gardiner,BRL,FWD,369000,36.8320438230557,40,39.5,38.1428571428572,0,0,0,0,0,0,0,0,0
Darcy Jones,GWS,FWD,606000,60.4883971728232,42,0,54.75,62,123,36,44,0,62,65.4,73.6666666666667,66.25
Darcy Moore,COL,DEF,541000,54.000367773098,56,63.4285714285714,48.2173913043478,55,53,61,59,0,55,57.2,56.3333333333333,57
Darcy Parish,ESS,MID,940000,93.8268867037192,103,106.888888888889,91.5833333333333,0,0,0,0,0,0,0,0,0
Darcy Tucker,NTH,DEF/MID,619000,61.7860030527683,49,60.8333333333333,68.5217391304348,68,78,76,62,0,68,59.2,74,71
Darcy Wilmot,BRL,DEF,774000,77.2574577751901,96,60.6956521739131,75.1304347826087,62,80,70,91,0,62,78.2,70.6666666666667,75.75
Darcy Wilson,STK,MID/FWD,709000,70.7694283754648,80,0,65.4347826086957,69,71,76,60,0,69,74.6,72,69
Darragh Joyce,BRL,DEF,433000,43.2202573858622,48,36,48,0,0,0,0,0,0,0,0,0
David Swallow,GCS,DEF/FWD,424000,42.3219148535925,46,72.3913043478261,41.3,0,0,0,0,0,0,0,0,0
Dayne Zorko,BRL,DEF,1076000,107.401840524683,142,84.8235294117647,110.260869565217,90,79,119,126,0,90,105.2,96,103.5
Deven Robertson,BRL,MID/FWD,301000,30.0445669125739,33,38.6153846153846,27,0,0,0,0,0,0,0,0,0
Dion Prestia,RIC,MID,743000,74.1631668307057,81,75.85,72.3846153846154,0,0,0,0,0,0,0,0,0
Dom Sheed,WCE,MID,864000,86.2408830978866,95,89.6,44.625,0,0,0,0,0,0,0,0,0
Dougal Howard,STK,DEF,514000,51.305340176289,56,52.8333333333333,50.1333333333333,0,0,0,0,0,0,0,0,0
Dylan Moore,HAW,FWD,799000,79.7528536981613,100,88.0434782608696,92,88,67,45,97,0,88,74.2,66.6666666666667,74.25
Dylan Shiel,ESS,MID/DEF,774000,77.2574577751901,69,69,77.2222222222222,91,97,61,78,0,91,81.75,83,81.75
Dylan Stephens,NTH,MID,471000,47.0132591887785,18,54.9230769230769,47.6875,85,67,42,15,0,85,52.25,64.6666666666667,52.25
Dylan Williams,PTA,DEF,523000,52.2036827085587,57,59.95,40,0,0,0,0,0,0,0,0,0
Eamonn Armstrong,STK,DEF,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Ed Langdon,MEL,MID,828000,82.647512968808,71,72.4347826086957,79.3181818181818,113,67,108,66,0,113,87.4,96,88.5
Ed Richards,WBD,MID,880000,87.8379364885882,96,79.8421052631579,86,92,83,89,92,0,92,90.2,88,89
Eddie Ford,NTH,FWD,551000,54.9985261422865,60,57.6428571428572,53.6666666666667,0,0,0,0,0,0,0,0,0
Edward Allan,COL,MID,414000,41.323756484404,36,0,56,10,49,0,0,0,10,29.5,29.5,29.5
Elijah Hewett,WCE,MID/FWD,369000,36.8320438230557,39,46.2857142857143,0,22,53,47,0,0,22,40.6666666666667,40.6666666666667,40.6666666666667
Elijah Hollands,CAR,FWD,769000,76.7583785905958,84,51.1111111111111,74.9047619047619,0,0,0,0,0,0,0,0,0
Elijah Tsatas,ESS,MID,601000,59.989317988229,60,64.25,36.7142857142857,71,56,0,0,0,71,63.5,63.5,63.5
Elliot Yeo,WCE,MID,933000,93.1281758452873,102,70.1,90.9,0,0,0,0,0,0,0,0,0
Elliott Himmelberg,GCS,FWD,506000,50.5068134809382,55,46,50.8888888888889,0,0,0,0,0,0,0,0,0
Eric Hipwood,BRL,FWD,569000,56.7952112068258,48,59.2608695652174,61.4,86,39,49,83,0,86,56.8,58,64.25
Errol Gulden,SYD,MID,1113000,111.09502649068,122,112.521739130435,108.478260869565,0,0,0,0,0,0,0,0,0
Esava Ratugolea,PTA,DEF,479000,47.8117858841293,63,40.5,49.35,37,41,54,0,0,37,44,44,44
Ethan Read,GCS,FWD,373000,37.2313071707311,17,0,20.5,57,37,46,65,0,57,51.25,46.6666666666667,51.25
Finlay Macrae,COL,MID/FWD,468000,46.7138116780219,51,47,39.8888888888889,0,0,0,0,0,0,0,0,0
Finn Callaghan,GWS,MID,807000,80.5513803935121,99,75.8333333333333,76.8636363636364,79,79,57,92,0,79,83.4,71.6666666666667,76.75
Finn Maginness,HAW,MID/FWD,535000,53.4014727515849,61,43,49.1818181818182,37,77,41,64,0,37,54.8,51.6666666666667,54.75
Finn O'Sullivan,NTH,MID/DEF,399000,39.8265189306212,26,0,0,54,52,33,51,0,54,47.5,46.3333333333333,47.5
Finnbar Maley,NTH,RUC/FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Francis Evans,CAR,FWD,378000,37.7303863553254,62,39,41,21,26,0,0,0,21,23.5,23.5,23.5
Geordie Payne,NTH,MID/FWD,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
George Hewett,CAR,MID,1016000,101.412890309552,83,74.0526315789474,83.0476190476191,121,109,116,120,0,121,113.4,115.333333333333,116.5
George Stevens,GEE,MID,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
George Wardlaw,NTH,MID,803000,80.1521170458367,88,65,78.2222222222222,0,0,0,0,0,0,0,0,0
Griffin Logue,NTH,DEF,396000,39.5270714198647,37,51.8666666666667,49.5,39,64,20,0,0,39,41,41,41
Gryan Miers,GEE,FWD,879000,87.7381206516694,105,75.4782608695652,85.1739130434783,60,101,112,73,0,60,88,91,86.5
Hamish Davis,WCE,MID/FWD,230000,22.9576424913356,44,0,0,18,19,0,0,0,18,18.5,18.5,18.5
Harley Reid,WCE,MID/DEF,602000,60.0891338251478,63,0,66.7,63,64,61,56,0,63,57.6,62.6666666666667,61
Harris Andrews,BRL,DEF,625000,62.3848980742814,52,68.7826086956522,63.4545454545455,78,55,70,93,0,78,63,67.6666666666667,74
Harrison Jones,ESS,FWD/MID,557000,55.5974211637996,72,42.8,54.7619047619048,41,57,49,72,0,41,54.75,49,54.75
Harrison Oliver,GWS,DEF,286000,28.5473293587912,31,0,0,0,0,0,0,0,0,0,0,0
Harrison Petty,MEL,FWD/DEF,460000,45.9152849826711,71,51.7857142857143,50.8,44,16,53,30,0,44,43.8,37.6666666666667,35.75
Harry Armstrong,RIC,FWD,307000,30.643461934087,11,0,0,69,4,60,16,0,69,37.25,44.3333333333333,37.25
Harry Barnett,WCE,RUC,230000,22.9576424913356,25,9,29,0,0,0,0,0,0,0,0,0
Harry Boyd,STK,RUC,268000,26.7506442942519,-3,0,0,68,0,0,0,0,68,68,68,68
Harry Charleson,CAR,DEF/MID,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Harry Cunningham,SYD,DEF,539000,53.8007360992603,59,55.0434782608696,52.55,0,0,0,0,0,0,0,0,0
